Question,Label
как дела?,1
как делишки,1
как дела,1
как жизнь молодая,1
как житуха,1
как жизнь,1
как поживаешь,1
как ты,1
как к вам поступить?,2
Какие предметы нужны для поступления?,2
Сколько баллов нужно для поступления?,2
Какие предметы нужны для поступления?,2
Сколько предметов нужно для поступления (Егэ)?,2
Как пройти по вступительным экзаменам?,2
Какие вступительные экзамены нужны?,2
Можно ли пройти по вступительным экзаменам?,2
Сколько нужно пройти вступительных экзаменов?,2
Куда подавать документы на поступление?,2
Какие документы подавать на поступление?,2
Куда подходить для подачи документов?,2
как перевестись из другого вуза?,3
Могу ли я перевестись из другого вуза?,3
Что требуется для перевода?,3
Куда обращаться на счет перевода из другого вуза?,3
Нужны ли зачеты по предметам из прошлого вуза?,3
К кому обращаться по переводу из другого вуза?,3
К кому обращаться на счет перевода из другого вуза?,3
В какие дни можно обратиться по поводу перевода из другого вуза?,3
В какие дни можно обратиться на счет перевода из другого вуза?,3
Какой человек ответственен за перевод из другого вуза?,3
Какой номер приемной комиссии по переводу из другого вуза?,3
"я сдал тесты, почему недоступна оплата?",4
Почему я не могу заплатить за обучение?,4
Как заплатить за свое обучение?,4
Почему недоступна оплата?,4
Где оплатить свое обучение?,4
В каком месте оплатить обучение?,4
Как мне оплатить свое обучение? ,4
Могу ли я оплатить свое обучение?,4
Почему не выходит оплатить обучение?,4
Доступна ли оплата обучения?,4
Когда мне будет доступна оплата обучения?,4
может ли повышаться стоимость обучения?,5
Может ли увеличиться стоимость обучения?,5
От чего зависит стоимость обучения?,5
Зависит ли стоимость обучения от курса рубля?,5
Сможет ли увеличиться оплата обучения?,5
Возрастет ли стоимость обучения?,5
От чего зависит повышение стоимости обучения?,5
Возможно ли увеличение стоимости обучения?,5
Возможно ли повышение оплаты за обучение?,5
Как сможет повышаться стоимость обучения?,5
Из-за чего сможет увеличиться стоимость обучения?,5
Может ли в скором времени повыситься стоимость обучения?,5
Может ли измениться стоимость обучения?,5
сколько учиться?,6
Сколько обычно обучаются по специальности,6
Каковы сроки обучения?,6
Сколько всего продлится моё обучение?,6
Сколько всего курсов?,6
Каково время обучения?,6
Как долго будет идти обучение?,6
Как долго идёт курс?,6
Как долго длится все обучение?,6
Сколько семестров курс?,6
Сколько длится семестр?,6
Как долго длится семестр?,6
Как долго может идти обучение?,6
На сколько большое время обучения?,6
"где посмотреть, какие есть направления/специальности?",7
Где увидеть какие есть направления/специальности? ,7
